Fecha,Semestre,Rival,Goles Newells,Goles rival,Resultado,Condición,Resultado num,Entrenador,Idolatría,Técnico interino?,Presidente
2014-02-13,1° 2014,Gimnasia LP,3,0,Derrota,Visitante,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-02-13,1° 2014,Atlético Nacional (Libert),1,0,Derrota,Visitante,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-02-16,1° 2014,Belgrano,1,1,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-02-23,1° 2014,Atlético Rafaela,1,4,Victoria,Visitante,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-02-27,1° 2014,Nacional (URU) (Libert),4,0,Victoria,Local,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-02,1° 2014,Estudiantes LP,1,1,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-05,1° 2014,Vélez Sarsfield,1,0,Derrota,Visitante,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-09,1° 2014,Olimpo,0,1,Derrota,Local,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-13,1° 2014,Gremio (Libert),0,0,Empate,Visitante,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-16,1° 2014,Racing Club,0,2,Victoria,Visitante,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-19,1° 2014,Gremio (Libert),1,1,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-23,1° 2014,Argentinos Jrs,0,0,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-26,1° 2014,Nacional (URU) (Libert),2,4,Victoria,Visitante,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-03-30,1° 2014,Quilmes,1,1,Empate,Visitante,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-04-02,1° 2014,River Plate,0,1,Derrota,Local,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-04-06,1° 2014,Rosario Central,1,0,Derrota,Visitante,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-04-10,1° 2014,Atlético Nacional (Libert),1,3,Derrota,Local,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-04-13,1° 2014,Godoy Cruz,1,0,Derrota,Visitante,0,Ricardo Lunari,Ídolo,Interino,Guillermo Lorente
2014-04-16,1° 2014,Colón,0,1,Derrota,Local,0,Ricardo Lunari,Ídolo,Interino,Guillermo Lorente
2014-04-20,1° 2014,San Lorenzo,0,0,Empate,Visitante,1,Ricardo Lunari,Ídolo,Interino,Guillermo Lorente
2014-04-26,1° 2014,Tigre,2,1,Victoria,Local,3,Ricardo Lunari,Ídolo,Interino,Guillermo Lorente
2014-05-04,1° 2014,Arsenal,3,2,Derrota,Visitante,0,Ricardo Lunari,Ídolo,Interino,Guillermo Lorente
2014-05-10,1° 2014,All Boys,4,2,Victoria,Local,3,Ricardo Lunari,Ídolo,Interino,Guillermo Lorente
2014-05-18,1° 2014,Lanús,1,1,Empate,Visitante,1,Ricardo Lunari,Ídolo,Interino,Guillermo Lorente
2014-08-10,2° 2014,Boca Juniors,0,1,Victoria,Visitante,3,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-08-16,2° 2014,Gimnasia LP,1,1,Empate,Local,1,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-08-24,2° 2014,Belgrano,3,3,Empate,Visitante,1,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-08-27,2° 2014,Atlético Rafaela,2,3,Derrota,Local,0,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-08-30,2° 2014,Estudiantes LP,0,1,Victoria,Visitante,3,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-09-07,2° 2014,Vélez Sarsfield,0,0,Empate,Local,1,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-09-13,2° 2014,Olimpo,1,0,Derrota,Visitante,0,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-09-22,2° 2014,Racing Club,1,1,Empate,Local,1,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-09-27,2° 2014,Banfield,2,0,Derrota,Visitante,0,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-10-05,2° 2014,Quilmes,1,1,Empate,Local,1,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-10-12,2° 2014,River Plate,1,0,Derrota,Visitante,0,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-10-19,2° 2014,Rosario Central,0,2,Derrota,Local,0,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-10-25,2° 2014,Godoy Cruz,2,2,Empate,Local,1,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-11-01,2° 2014,Defensa y Justicia,1,0,Derrota,Visitante,0,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-11-10,2° 2014,San Lorenzo,2,1,Victoria,Local,3,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-11-17,2° 2014,Tigre,1,2,Victoria,Visitante,3,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-11-22,2° 2014,Arsenal,1,1,Empate,Local,1,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-11-30,2° 2014,Independiente,1,0,Derrota,Visitante,0,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2014-12-06,2° 2014,Lanús,0,0,Empate,Local,1,Gustavo Ragio,Ídolo,Efectivo,Guillermo Lorente
2015-02-14,1° 2015,Independiente,2,3,Derrota,Local,0,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-02-21,1° 2015,Aldosivi,0,1,Victoria,Visitante,3,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-03-02,1° 2015,Vélez Sarsfield,0,0,Empate,Local,1,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-03-08,1° 2015,Sarmiento (Junín),1,2,Victoria,Visitante,3,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-03-15,1° 2015,Quilmes,1,1,Empate,Local,1,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-03-21,1° 2015,Belgrano,2,0,Derrota,Visitante,0,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-03-29,1° 2015,Unión,2,0,Victoria,Local,3,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-04-04,1° 2015,Arsenal,0,3,Victoria,Visitante,3,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-04-13,1° 2015,Godoy Cruz,2,0,Victoria,Local,3,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-04-18,1° 2015,Gimnasia LP,0,0,Empate,Visitante,1,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Guillermo Lorente
2015-04-26,1° 2015,San Lorenzo,0,1,Derrota,Local,0,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Jorge Riccobelli
2015-05-03,1° 2015,Argentinos Jrs,2,1,Derrota,Visitante,0,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Jorge Riccobelli
2015-05-11,1° 2015,Banfield,1,1,Empate,Local,1,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Jorge Riccobelli
2015-05-23,1° 2015,Boca Juniors,4,0,Derrota,Visitante,0,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Jorge Riccobelli
2015-06-01,1° 2015,Racing Club,1,1,Empate,Local,1,"Armérico ""Tolo"" Gallego",Ídolo,Efectivo,Jorge Riccobelli
2015-06-07,1° 2015,Tigre,0,0,Empate,Visitante,1,Carlos Picerni,Ídolo,Interino,Jorge Riccobelli
2015-07-12,2° 2015,Tigre,0,0,Empate,Local,1,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-07-19,2° 2015,Rosario Central,0,0,Empate,Visitante,1,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-07-26,2° 2015,Olimpo,0,0,Empate,Local,1,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-08-01,2° 2015,Temperley,0,0,Empate,Visitante,1,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-08-10,2° 2015,Atl. Rafaela,1,1,Empate,Local,1,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-08-16,2° 2015,Colón,0,1,Victoria,Visitante,3,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-08-24,2° 2015,Def. y Justicia,0,1,Derrota,Local,0,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-08-31,2° 2015,San Martín (SJ),1,1,Empate,Visitante,1,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-09-05,2° 2015,Estudiantes LP,0,1,Derrota,Local,0,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-09-13,2° 2015,Rosario Central,1,0,Derrota,Visitante,0,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-09-21,2° 2015,Huracán,0,0,Empate,Visitante,1,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-09-28,2° 2015,Nueva Chicago,5,1,Derrota,Visitante,0,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-10-04,2° 2015,Lanús,1,1,Empate,Local,1,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2015-10-16,2° 2015,Crucero del Norte,0,2,Victoria,Visitante,3,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2016-02-06,1° 2016,San Martín (SJ),2,1,Derrota,Visitante,0,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2016-02-14,1° 2016,Rosario Central,2,0,Derrota,Visitante,0,Lucas Bernardi,Ídolo,Efectivo,Jorge Riccobelli
2016-02-17,1° 2016,Racing Club,5,0,Victoria,Local,3,Juan Pablo Vojboda,Externo,Interino,Jorge Riccobelli
2016-02-20,1° 2016,Boca Juniors,4,1,Derrota,Visitante,0,Juan Pablo Vojboda,Externo,Interino,Jorge Riccobelli
2016-02-26,1° 2016,Unión,1,1,Empate,Local,1,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-03-03,1° 2016,Lanús,3,0,Derrota,Visitante,0,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-03-06,1° 2016,Atl. Rafaela,1,1,Empate,Local,1,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-03-12,1° 2016,Tigre,3,3,Empate,Visitante,1,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-03-21,1° 2016,Aldosivi,1,1,Empate,Local,1,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-04-03,1° 2016,Argentinos Jrs,0,0,Empate,Visitante,1,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-04-10,1° 2016,Huracán,1,0,Victoria,Local,3,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-04-16,1° 2016,Estudiantes LP,0,0,Empate,Visitante,1,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-04-24,1° 2016,Rosario Central,0,0,Empate,Local,1,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-04-29,1° 2016,Def. y Justicia,1,0,Derrota,Visitante,0,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-05-07,1° 2016,Temperley,0,2,Derrota,Local,0,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-05-14,1° 2016,Atlético Tucumán,1,2,Victoria,Visitante,3,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-05-22,1° 2016,Atlético Tucumán,1,1,Empate,Local,1,Diego Osella,Externo,Efectivo,Jorge Riccobelli
2016-08-28,2° 2016,Quilmes,0,1,Victoria,Visitante,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-09-11,2° 2016,Tigre,1,1,Empate,Local,1,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-09-17,2° 2016,Sarmiento (Junín),1,1,Empate,Visitante,1,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-09-25,2° 2016,Atlético Tucumán,3,1,Victoria,Local,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-10-01,2° 2016,Temperley,0,0,Empate,Visitante,1,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-10-16,2° 2016,Gimnasia LP,1,0,Victoria,Local,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-10-23,2° 2016,Rosario Central,0,1,Victoria,Visitante,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-10-29,2° 2016,San Lorenzo,2,2,Empate,Local,1,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-11-06,2° 2016,Racing Club,2,1,Derrota,Visitante,0,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-11-20,2° 2016,River Plate,1,0,Victoria,Local,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-11-26,2° 2016,Colón,1,2,Victoria,Visitante,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-12-03,2° 2016,Banfield,0,2,Derrota,Local,0,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-12-10,2° 2016,Talleres,1,1,Empate,Visitante,1,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2016-12-18,2° 2016,San Martín (SJ),6,1,Victoria,Local,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2017-03-12,1° 2017,Def. y Justicia,1,0,Derrota,Visitante,0,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2017-03-18,1° 2017,Vélez Sarsfield,3,0,Victoria,Local,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2017-03-25,1° 2017,Patronato,1,1,Empate,Visitante,1,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2017-04-01,1° 2017,Atl. Rafaela,1,0,Victoria,Local,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
2017-04-08,1° 2017,Arsenal,0,1,Victoria,Visitante,3,Diego Osella,Externo,Efectivo,Eduardo Bermúdez
